ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
153,"Effect of long-term maximum strength training on explosive strength, neural, and contractile properties","It was hypothesized that LT-MST individuals (vs UNT) would have higher absolute explosive strength but lower relative explosive strength (to MVT); slower evoked contractile properties; and equivalent neuromuscular activation during explosive

contractions.",difference of means,Absolute explosive torque of LT-MST was 41%–64% greater than UNT at 25–150 ms from torque onset ([all] p ≤ 0.001; 1.15 ≤ ES ≤ 2.36 [all] “Large”; Figure 1A).,,,p < 0.001,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
155,The effect of leg preference on mechanical efficiency during single-leg extension exercise,the PL would exhibit greater submaximal mechanical efficiency during exercise executed at absolute and relative submaximal workloads;,main effect,"During exercise executed at 35 W, gnet was significantly greater in PL (Table 1; F = 6.1, p = 0.00012)",,,,,,1,13,6.1,p = 0.00012,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
156,Caffeine alters thermoregulatory responses to exercise in the heat only in caffeine-habituated individuals: a double-blind placebo-controlled trial,We hypothesized that 1) acute caffeine ingestion would lead to a greater rise in core temperature during exercise compared with the ingestion of a placebo,main effect,"A main effect of CAF was observed for the rise in esopha- geal temperature from baseline (DTes), with a greater end- exercise DTes observed with CAF (0.94 ± 0.36C) relative to PLA (0.81 ± 0.41 C) (P = 0.006).",,,,,,,,,p = 0.006,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
157,The effect of cold exposure with shivering on glucose tolerance in healthy men,We hypothesized that the cold exposure would increase glucose tolerance (reduce the glucose concentration during the OGTT) compared with the thermoneutral condition.,difference of means,"The area under the glucose curve (Fig. 6C) tended to increase by 4.8% with cold exposure compared with that in the thermo- neutral condition (1387.8 ± 37.6 vs. 1324.1 ± 33.3 mmol·L1 180 min, P = 0.066, d = 0.46)",,,p = 0.066,standardised,not reported,,,,,,,clinical trial,no,,Yes,Yes,No,No,standardised,No,,,
158,Interrupting prolonged sitting with repeated chair stands or short walks reduces postprandial insulinemia in healthy adults,We hypothesized that postprandial glycemia and insulinemia would be similarly reduced when prolonged sitting was interrupted with short breaks of body-weight resistance exercise or treadmill walking.,difference of means,"Postprandial insulin concentra- tions did not differ in response to breakfast; however, follow- ing lunch the peak insulin concentration was lower in SQUAT (51.6 ± 26.7, P = 0.0008) and WALK (62.2 ± 34.9, P = 0.0195) compared with SIT (78.9 ± 43.0 μIU/mL; Table 2).",,,p = 0.008,not reported,not reported,,,,,,,clinical trial,no,,Yes,Yes,No,No,No,No,,,
159,"The combined effect of sprint interval training and postexercise blood flow restriction on critical power, capillary growth, and mitochondrial proteins in trained cyclists","It was hypothesized that SIT combined with BFR would result in a greater increase in CP, which would be associated with a greater increase in skeletal muscle capillarity and mitochondrial protein content compared with SIT alone.",interaction effect,"From Table 1, interaction effect p = 0.58",,,,,,,,,p = 0.93,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
160,Intermittent short-arm centrifugation is a partially effective countermeasure against upright balance deterioration following 60-day head-down tilt bed rest,"It was hypothesized that daily exposure to AG, either in a single long or multiple intermittent bouts, would mitigate the deterioration of standing balance quality and delayed APAs of the trunk muscles provoked by 60-day grav- itational unloading through HDT bed rest.",interaction effect,"A significant Time x Group interaction was found for Sway frequency power CoPy (F2,21 = 6.35; P = 0.007, g2 partial = 0.38)",,,,,,2,21,6.35,P = 0.007,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
161,"Differences in cerebrovascular regulation and ventilatory responses during ramp incremental cycling in children, adolescents, and adults","It was hypothesized that 1) children would have a smaller relative change in MCAv and PETCO2 during incremental exercise than adolescents and adults,",difference of means,"At the GET, D%MCAv was lower in children compared with adults (P = 0.03, d = 0.9) and adolescents (P = 0.01, d = 0.9)",,,p = 0.03,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
162,On the implication of dietary nitrate supplementation for the hemodynamic and fatigue response to cycling exercise,"We tested the hypotheses that DNS increases QL and attenuates the development of neuromuscular fatigue, leading to an improvement in cycling time to task failure.",difference of means,"there was no difference in cycling time to task failure between the DNS and PL conditions (PLA: 488 ± 23 s vs. DNS: 503 ± 27 s, P = 0.49)",,,p = 0.49,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
163,The impact of elevated body core temperature on critical power as determined by a 3-min all-out test,"We hypothesized that an elevated body core temperature, while performing a 3-min all-out test in a hot environment, would reduce EP with no change in peak power output, lead- ing to an increase in the finite work capacity above EP, or WEP.",difference of means,EP was similar between thermoneutral and hot conditions (2.5 ± 7%; Cohen’s d = 0.219),,,not reported,both types are reported,not reported,,,,,,,no,no,,Yes,No,No,No,Both,No,,,
164,Differential changes in muscle architecture and neuromuscular fatigability induced by isometric resistance training at short and long muscle-tendon unit lengths,"increased fascicle length will decrease neuromuscular fatigability, due to relative changes in the imposed resistance based on the torque-angle relationship",interaction effect,"There was no clear time x group interaction nor main effects of time or group; however, the main effect of time almost reached statistical significance [F(1, 24) = 3.325, P = 0.081, 􏰐2 􏰀 0.03]",,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
165,Segment coordination and variability among prospectively injured and uninjured runners,it was hypothesized that prospectively injured runners would display less CAV compared with uninjured controls.,difference of means,"Vector coding analysis revealed significantly greater CAV in the injured group during initial-stance for the knee-ankle and knee-shank coupling relationships and late-stance for the shank ankle relationship (Figure 2; also see Table, Supplemental Digital Content 1 for mean CAV values for each group, p-values, and Cohen’s d effect sizes).",,,P < 0.05,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
166,"Effects of music tempo on perceived exertion, attention, affect, heart rate, and performance during isometric strength exercise","fast-tempo and slow-tempo music conditions will result in more dissociative attention, increased pleasantness and arousal, lower RPE scores, and a longer wall-sit and plank-hold compared to the no-music condition.",main effect,"There was no main effect of experimental condition on time to volitional exhaustion for the wall-sit, F(2, 60) = 0.81, p = .449, η2 = .02,",,,,,,2,60,0.81,p = 0.449,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
167,Bilateral differences in hamstring coordination in previously injured elite athletes,We tested the hypothesis that the contribution of the injured muscle to submaximal knee flexion torque will be reduced in the injured limb compared with the noninjured limb,difference of means,"The contribution of BF torque over the total hamstring torque (BF/Hams) was lower in the injured than in the uninjured limb at 20% MVC [−5.6 ± 10.2% (CI95%: −10.9%, −0.3%), P = 0.038, d = −0.49;",,,P = 0.038,both types are reported,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,No,No,Both,"yes, only for the unstandardised",,,
168,Skin tattooing impairs sweating during passive whole body heating,"Therefore, the aim of this study was to test the hypothesis that reflex increases in sweat rate and cutaneous vasodilation were blunted in tattooed skin compared with adjacent healthy skin during a passive WBH stress.",main effect,"The average change in sweat rates from normo-thermic baseline for TAT were significantly less than for CON during WBH, as indicated by a significant main effect of skin type (P = 0.033, 􏰍2 􏰀 0.413, Fig. 2).",,,,,,,,,p = 0.033,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
169,Effects of menstrual cycle on appetite-regulating hormones and energy intake in response to cycling exercise in physically active women,postexercise appetite and energy intake would be similar or lowered in the mid luteal phase than in the early follicular phase which might be induced by increasing PYY concentration through acute exercise in the luteal phase and high concentration of estradiol in the luteal phase contributes the appetite suppressing action of CCK,difference of means,No differences in appetite between phases p = 0.241 (Table1),,,p = 0.241,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
170,Mechanisms of neuromuscular fatigue and recovery in unilateral versus bilateral maximal voluntary contractions,UNIL IMVC would result in a higher magnitude of peripheral fatigue whereas exercise in the BIL condition would induce a greater reduction in central drive.,main effect,"All force and EMG parameters, except for MEP100 and MEP75, showed a significant time effect (P 􏰄 0.005), increas- ing during recovery compared with POST, but neither condi- tion nor condition 􏰆 time interaction was significant. MEP100 and MEP75 did not show any significant effects (Fig. 4).",,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
171,Effect of carbohydrate ingestion on central fatigue during prolonged running exercise in moderate hypoxia,We hypothesized that moder- ate hypoxia would significantly increase both peripheral and central fatigue during running exercise and that ingesting carbohydrates during prolonged running in hypoxia would attenuate the development of central and peripheral fatigue.,difference of means,"The percent changes in Qtw,pot (􏰁Qtw,pot) for NORM-PLA (􏰂4.5 􏰃 1.3%), HYP-PLA (􏰂4.0 􏰃 1.5%), and HYP-CHO (􏰂6.9􏰃1.7%) were not significantly different between any of the three conditions (NORM-PLA vs. HYP- PLA: P 􏰀 0.61, ES 􏰀 0.12",,,p = 0.61,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
172,Effects of repeated local heat therapy on skeletal muscle structure and function in humans,"we hypothesized that daily exposure to heat stress would enhance muscle strength, pro- mote muscle capillary growth and the expression of angiogenic mediators, and increase muscle mitochondrial content.",main effect,Comparison of the changes from baseline in peak torque revealed a significant main effect of treatment (P 􏰀 0.007),,,,,,,,,p = 0.007,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
